X (m downglacier),elevation (m a.s.l.)
0,3277
169.74,3200
368.38,3100
599.1,3000
912.92,2900
1338.08,2800
2148.06,2800
2971.98,2700
3128.32,2600
3414.72,2500
5215.046,2500
