X (m downglacier),ice surface elevation (m a.s.l.)
0,3277
249,3219
498,3139
751,3085
1000,3070
1250,3057
1500,3043
1750,3009
2000,2975
2250,2937
2500,2910
2750,2869
3000,2806
3250,2723
3500,2669
3750,2634
4000,2615
4250,2603
4500,2592
4750,2570
5000,2531
5215,2501
