X (m downglacier),elevation (m a.s.l.)
0,3570
89.8,3500
488.42,3400
1103.98,3300
1676.18,3200
2761.5,3100
3057.06,3000
4054.64,2900
4853.86,2800
5427.92,2700
5840.1,2600
7087.82,2600
