Name,Silvretta
Location,
Description,Glacier bed elevations (m a.s.l)
Citations,Farinotti et al (2009)
,Farinotti et al (2010)
,
,
,
,
,
X,elevation
0,3078
34.98,3050
160.72,3000
293.8,2950
441.14,2900
656.76,2850
1024,2800
1135.76,2750
1279.52,2700
1488.58,2650
1953.14,2600
2234.62,2550
2387.5,2500
2865.54,2470
3191.66,2498
