Name,Silvretta
Location,
Description,Ice surface elevations (m a.s.l)
Citations,NASA LANDSAT5
,ASTER GDEM
,DigiGlobe
,
,
,
,
X,elevation
0,3078
175,3029
300,3023
499,2989
599,2976
751,2948
851,2926
1000,2886
1150,2836
1250,2803
1350,2783
1500,2762
1650,2747
1750,2733
1850,2721
2000,2699
2150,2667
2250,2636
2400,2616
2500,2604
2650,2584
2750,2574
2900,2564
3000,2546
3100,2522
3190,2498
